symbol,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,maxAge
22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF
IM.F,YHD,MUTUALFUND,IM.F,IM.F,,,,America/New_York,EST,,-18000000,1
0P00000X0R.F,,,,,1,NONE,,0P00000X0R.F,,,0P00000X0R.F,9a753d82-05a7-36a3-b3c8-f1638ba3d9a4
0P00000XFE.F,FRA,2018-01-02 07:00:00,3600000,BS Plan Monetario PP,1,MUTUALFUND,BS Plan Monetario PP,0P00000XFE.F,Europe/Berlin,CET,0P00000XFE.F,fd7ccb21-acf3-3e49-89aa-bd7204dd84cb
0P00000XJ5.F,FRA,2018-01-02 07:00:00,3600000,OpenBank Renta Fija PP,1,MUTUALFUND,OpenBank Renta Fija PP,0P00000XJ5.F,Europe/Berlin,CET,0P00000XJ5.F,b8a75bcf-58d8-3716-922c-84fd20f3ed58
0P00000XYF,,,,,1,NONE,,0P00000XYF,,,0P00000XYF,c9681df4-1484-3558-955f-dbb5ce3f37ef
0P00000Y4P.F,,,,,1,NONE,,0P00000Y4P.F,,,0P00000Y4P.F,c4a19db5-c2a0-377d-8d1a-a95aa8d24e2f
0P000011W0.F,,,,,1,NONE,,0P000011W0.F,,,0P000011W0.F,2d31b772-baba-3657-a3de-9c40f285e230
0P0000178S.F,,,,,1,NONE,,0P0000178S.F,,,0P0000178S.F,e495b689-1597-3e37-9cc2-7663e998a4f8
0P00001872.F,,,,,1,NONE,,0P00001872.F,,,0P00001872.F,665bdfaa-60e5-3457-970d-85e9c37b070d
0P000018OD,,,,,1,NONE,,0P000018OD,,,0P000018OD,24d8b2da-a569-330b-a243-14528bdd2d5b
0P000019SP,,,,,1,NONE,,0P000019SP,,,0P000019SP,b002e375-4a10-30f3-bcc1-ed86ba744920
0P000019WJ,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,Russell Investment Company plc ,0P000019WJ,America/New_York,EST,0P000019WJ,a2fabb95-f331-3bb0-899c-229e55de4b5f
0P00001A2H.F,,,,,1,NONE,,0P00001A2H.F,,,0P00001A2H.F,05b41b75-566d-3412-9e5e-32111c3da156
0P00001BIJ,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,JPMorgan Australia (acc) - USD,0P00001BIJ,America/New_York,EST,0P00001BIJ,4eb71cf1-3af1-3296-9114-16706ff85c5b
0P00001CB0.F,,,,,1,NONE,,0P00001CB0.F,,,0P00001CB0.F,083e0c2a-0a5f-3bbf-ae8f-7306e4859191
0P00001DR0.F,FRA,2018-01-02 07:00:00,3600000,Ecureuil Profil 5 D,1,MUTUALFUND,Ecureuil Profil 5 D,0P00001DR0.F,Europe/Berlin,CET,0P00001DR0.F,25138ccd-a888-3816-a7b5-3b377d12682c
0P00001ELB.F,,,,,1,NONE,,0P00001ELB.F,,,0P00001ELB.F,c585a11a-6303-3d2e-be0c-4eb8a59da3a4
0P00001EYW.F,,,,,1,NONE,,0P00001EYW.F,,,0P00001EYW.F,adf726af-1cb4-3927-859e-a544c96bfbb9
0P00001O4A.T,JPX,2018-01-02 00:00:00,32400000,Janus Selection - Global Real Estate I JPY,1,MUTUALFUND,Janus Selection - Global Real E,0P00001O4A.T,Asia/Tokyo,JST,0P00001O4A.T,db94b4c0-b243-3744-a29a-445a8c64a20f
0P00001Q58.SW,,,,,1,NONE,,0P00001Q58.SW,,,0P00001Q58.SW,966a5aac-ba23-3139-b34d-103ae6e65ecd
0P00001RZL.SW,,,,,1,NONE,,0P00001RZL.SW,,,0P00001RZL.SW,929493bb-25a4-3b1c-bc26-8b771152ebd8
0P000020MU.F,,,,,1,NONE,,0P000020MU.F,,,0P000020MU.F,1c80c865-0b0e-332d-ad7c-eb883be59b46
0P000022WD,,,,,1,NONE,,0P000022WD,,,0P000022WD,fca26dc5-c997-3043-8173-0657cee7a7bd
0P00002467.L,LSE,2018-01-02 08:00:00,0,Invesco UK Enhanced Index Fund (UK) (No Trail) (Inc),1,MUTUALFUND,Invesco UK Enhanced Index Fund ,0P00002467.L,Europe/London,GMT,0P00002467.L,a3d24142-81be-335a-8dfa-318008c2bcfb
0P000027LU.SW,,,,,1,NONE,,0P000027LU.SW,,,0P000027LU.SW,073407b2-21bd-304a-98b2-17a504b26f3a
0P00002AVF.L,LSE,2018-01-02 08:00:00,0,SVS Cornelian Growth E GBP,1,MUTUALFUND,SVS Cornelian Growth E GBP,0P00002AVF.L,Europe/London,GMT,0P00002AVF.L,e5cf3daa-0d63-3975-977f-32eed9894fed
0P00005VCC.BO,BSE,2018-01-01 03:45:00,19800000,Quant Active Fund Growth,1,MUTUALFUND,Quant Active Fund Growth,0P00005VCC.BO,Asia/Kolkata,IST,0P00005VCC.BO,1909c7db-28a0-319e-a91e-97ad3bb58731
0P00005VUM.F,FRA,2018-01-04 07:00:00,3600000,FCP Bruyère C,1,MUTUALFUND,FCP Bruyère C,0P00005VUM.F,Europe/Berlin,CET,0P00005VUM.F,8841ad3f-1d92-3741-af8a-5c303cbe2064
0P000069DO.L,LSE,2018-01-01 08:00:00,0,Barclays Sterling Corporate Bond Fund A Acc GBP,1,MUTUALFUND,Barclays Sterling Corporate Bon,0P000069DO.L,Europe/London,GMT,0P000069DO.L,0f0662e4-c643-3fde-93bf-3f95b61a092f
0P000069ZS,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,Comgest Growth Asia Pac ex Japa,0P000069ZS,America/New_York,EST,0P000069ZS,e50054cd-0aea-31fc-8e90-8fb3ab0dd19d
0P00006A4H.F,,,,,1,NONE,,0P00006A4H.F,,,0P00006A4H.F,38b2b5fb-56ce-3601-9807-4ba4ec23422b
